Name,Position,Joined,Height,Weight,College,Number,Status,DraftYear,DraftRound,DraftPick,ProBowls,Achievements,Info,ImageURL
Dak Prescott,QB,2016,6-2,238,Mississippi State,4,Active,2016,4,135,2,2x Pro Bowl; 2019 NFL passing yards leader,Starting quarterback known for leadership and consistency. Led Cowboys to multiple playoff appearances.,
CeeDee Lamb,WR,2020,6-2,198,Oklahoma,88,Active,2020,1,17,2,2x Pro Bowl; 2023 All-Pro; Led NFL in receptions 2023,Elite receiver with exceptional route running and hands. One of the top receivers in the NFL.,
Micah Parsons,LB,2021,6-3,245,Penn State,11,Active,2021,1,12,3,2021 NFL Defensive Rookie of the Year; 3x Pro Bowl; 2x All-Pro,Defensive powerhouse and versatile pass rusher. Game-changing defender.,
Trevon Diggs,CB,2020,6-1,205,Alabama,7,Active,2020,2,51,1,Led NFL in interceptions 2021 (11 INTs); Pro Bowl 2021,Ball-hawking cornerback with elite interception skills.,
Zack Martin,OG,2014,6-4,315,Notre Dame,70,Active,2014,1,16,9,9x Pro Bowl; 8x All-Pro; NFL 2010s All-Decade Team,Perennial All-Pro offensive guard. One of the best linemen in NFL history.,
Tyron Smith,OT,2011,6-5,320,USC,77,Active,2011,1,9,8,8x Pro Bowl; 5x All-Pro; NFL 2010s All-Decade Team,Elite left tackle protecting the blind side.,
DaRon Bland,CB,2022,6-0,195,Fresno State,26,Active,2022,5,167,1,NFL record 5 pick-sixes in 2023; Pro Bowl 2023,Breakout cornerback with historic interception return touchdown streak.,
Jake Ferguson,TE,2022,6-5,250,Wisconsin,87,Active,2022,4,129,0,Emerging tight end,Reliable pass-catching tight end.,
Tyler Smith,OL,2022,6-5,325,Tulsa,73,Active,2022,1,24,0,Starting guard,Young offensive lineman with tremendous upside.,
Brandin Cooks,WR,2014,5-10,183,Oregon State,3,Active,2014,1,20,0,6 consecutive 1000-yard seasons,Veteran speedster and deep threat.,
DeMarcus Lawrence,DE,2014,6-3,265,Boise State,90,Active,2014,2,34,2,2x Pro Bowl; Multiple sack leader,Veteran defensive end and team leader.,
Terence Steele,OT,2020,6-6,310,Texas Tech,78,Active,2020,0,0,0,Undrafted success,Starting offensive tackle.,
Tyler Biadasz,C,2020,6-4,316,Wisconsin,63,Active,2020,4,146,0,Starting center,Solid center anchoring the line.,
Donovan Wilson,S,2019,6-0,205,Texas A&M,6,Active,2019,6,213,0,Hard-hitting safety,Physical safety known for big hits.,
