Name,Role,Age,Height,Weight,College,Experience,Status,Achievements,Info
Jinelle Esther,DCC Veteran,26,5-7,125,University of Texas,5,Active,5-Year Veteran;Featured in DCC Calendar,Jinelle joined the Dallas Cowboys Cheerleaders in 2019 and has become one of the squad's most recognized performers.
Kelcey Wetterberg,DCC Point,28,5-6,120,Texas Christian University,7,Active,7-Year Veteran;Squad Point;DCC Ambassador,Kelcey is one of the longest-tenured cheerleaders on the squad and serves as a squad point leader.
Victoria Kalina,DCC Veteran,24,5-8,122,University of Oklahoma,3,Active,3-Year Veteran;Featured Performer,Victoria joined the DCC in 2021 and quickly became a fan favorite with her high-energy performances.
Reece Wiersma,DCC Veteran,25,5-6,118,Texas A&M University,4,Active,4-Year Veteran;Show Group Member,Reece is a valued member of the show group and has performed at numerous special events.
Cianna Wilson,DCC Point,27,5-7,121,Southern Methodist University,6,Active,6-Year Veteran;Squad Point;Pro Bowl Performer,Cianna has represented the Cowboys at the Pro Bowl and serves as a squad point leader.
Kat Dodd,DCC Veteran,23,5-5,116,University of North Texas,2,Active,2-Year Veteran,Kat joined the squad in 2022 and brings incredible energy and talent to every performance.
Lexie Doyle,DCC Veteran,26,5-7,119,Baylor University,5,Active,5-Year Veteran;Show Group Member,Lexie is a dynamic performer and integral part of the Cowboys Cheerleaders show group.
Madeline James,DCC Rookie,22,5-6,117,Texas State University,1,Active,Rookie of the Year Candidate,Madeline joined the squad in 2023 as a highly sought-after rookie with exceptional dance training.
Hannah Rhoades,DCC Veteran,25,5-8,123,University of Arkansas,4,Active,4-Year Veteran;DCC Ambassador,Hannah is a fan favorite who frequently represents the Cowboys at community events.
Tess Brophy,DCC Veteran,24,5-6,118,University of Houston,3,Active,3-Year Veteran;Featured in Making the Team,Tess was featured prominently in the CMT series Making the Team during her rookie year.
